VARNAMES: CID HOSTGAL_sSFR
SN: 2008gl -12.625200
SN: 2008go -12.567800
SN: 2008gp -9.278240
SN: 2008hj -9.730400
SN: 2008hm -10.474900
SN: 2008hs -11.129500
SN: 2008hu -11.129500
SN: 2008hv -12.567800
SN: 2008ia -9.584370
SN: 2009aa -8.826680
SN: 2009ab -9.688380
SN: 2009ad -10.039600
SN: 2009ag -9.278240
SN: 2009al -10.474900
SN: 2009an -11.334400
SN: 2009bv -9.181960
SN: 2009cz -11.129400
SN: 2009dc -11.129500
SN: 2009do -9.483650
SN: 2009ds -10.334400
SN: 2009ee -12.567800
SN: 2009eu -12.194400
SN: 2009fv -38.113800
SN: 2009gf -10.468000
SN: 2009hn -12.625200
SN: 2009hp -42.448700
SN: 2009jb -9.726300
SN: 2009jr -10.170200
SN: 2009kk -9.400290
SN: 2009kq -8.832810
SN: 2009le -9.861080
SN: 2009lf -16.445000
SN: 2009li -9.388660
SN: 2009na -9.056690
SN: 2009nq -9.056690
SN: 2010ag -9.811570
SN: 2010ao -11.123400
SN: 2010cr -16.445000
SN: 2010dt -9.574740
SN: 2010dw -9.278240
SN: 2010el -9.584370
SN: 2010gn -10.133500
SN: 2010gp -8.830120
SN: 2010hs -9.730400
SN: 2010ih -11.129500
SN: 2010ii -9.049690
SN: 2010jn -9.278240
SN: 2010ju -10.334400
SN: 2010kg -11.129500
SN: 2010ko -9.109760
SN: 2011aa -9.242680
SN: 2011ao -8.830120
SN: 2011ay -10.474900
SN: 2011de -10.170200
SN: 2011df -11.129500
SN: 2011dl -9.101630
SN: 2011dn -8.832810
SN: 2011dz -9.584370
SN: 2011eh -12.560600
SN: 2011ek -8.826680
SN: 2011fs -10.334400
SN: 2011hb -9.901470
SN: 2011ia -9.242680
SN: 2012bh -8.832810
SN: 2012gl -9.812750
SN: 2012hr -9.181960
SN: 2012ij -11.129500
SN: 2013ag -12.198500
SN: 2013bs -12.567800
SN: 2013dh -8.826680
SN: 2013dr -9.123870
SN: 2013eh -8.830120
SN: 2013eu -8.830120
SN: 2013ex -8.832810
SN: 2013fa -8.830120
SN: 2013fn -8.830120
SN: 2013fw -11.129500
SN: 2013fy -9.584370
SN: 2013gh -11.129500
SN: 2013gq -12.567800
SN: 2013gs -9.056690
SN: 2013gy -10.170200
SN: 2013hh -10.170200
SN: 2013hn -11.129500
SN: 2014ai -12.194400
SN: 2014ao -22.665300
SN: 2014at -11.323300
SN: 2014bj -9.762740
SN: 2014bv -10.170200
SN: 2014cd -9.483650
SN: 2014dg -11.129500
SN: 2014dt -8.830120
SN: 2014eg -8.832810
SN: 2014ek -9.299570
SN: 2015bp -12.189300
SN: 2015db -8.832810
SN: 300105 -8.832810
SN: 310073 -11.129500
SN: 330146 -11.135700
SN: 340229 -8.832810
SN: 350316 -9.726300
SN: 360156 -9.458400
SN: 370066 -9.730400
SN: 370333 -9.053470
SN: 370356 -8.832810
SN: 370566 -9.722030
SN: 380046 -9.730400
SN: 390259 -9.181960
SN: 390314 -9.730400
SN: 420100 -33.776200
SN: 440008 -9.056690
SN: 450020 -9.313330
SN: 470001 -12.198500
SN: 480058 -9.722030
SN: 490007 -9.730400
SN: 490008 -9.722030
SN: 500038 -9.730400
SN: 510082 -9.056690
SN: 520022 -8.936450
SN: 530086 -11.135700
SN: 530240 -9.056690
SN: 550005 -8.936450
SN: 560116 -9.400290
SN: 570062 -108.989000
SN: 590194 -9.056690
SN: PS15mt -8.936450
SN: PS16el -9.109760
SN: PS16em -9.730400
SN: PS16fa -8.832810
SN: PS17tn -16.445000
