VARNAMES: CID REDSHIFT_CMB
SN: 15756 0.385044
SN: 15776 0.315825
SN: 1580 0.182156
SN: 15868 0.249740
SN: 15872 0.205486
SN: 15897 0.173574
SN: 15901 0.203684
SN: 16000 0.397069
SN: 160039 0.270850
SN: 160046 0.106728
SN: 160066 0.531052
SN: 160070 0.358975
SN: 160099 0.101424
SN: 160126 0.360228
SN: 160197 0.353608
SN: 160198 0.348986
SN: 160200 0.423495
SN: 16021 0.123361
SN: 160214 0.630610
SN: 160287 0.509815
SN: 16032 0.203183
SN: 16069 0.126882
SN: 16072 0.284343
SN: 16073 0.153394
SN: 16093 0.334392
SN: 16099 0.195807
SN: 16100 0.188932
SN: 16106 0.249730
SN: 16108 0.187166
SN: 16116 0.155092
SN: 16165 0.174048
SN: 16185 0.100189
SN: 16206 0.158379
SN: 16211 0.309386
SN: 16213 0.250770
SN: 16215 0.045928
SN: 16232 0.374261
SN: 16259 0.117710
SN: 16276 0.193967
SN: 16280 0.037025
SN: 16281 0.185071
SN: 16287 0.106655
SN: 16314 0.061416
SN: 16333 0.070677
SN: 16350 0.236838
SN: 16352 0.250741
SN: 16357 0.372195
SN: 16392 0.057605
SN: 16402 0.262983
SN: 16414 0.306147
SN: 16421 0.319588
SN: 16442 0.279339
SN: 16473 0.216138
SN: 16482 0.209368
SN: 16541 0.131115
SN: 16567 0.364590
SN: 16578 0.173634
SN: 16618 0.191931
SN: 16619 0.114030
SN: 16631 0.215216
SN: 16637 0.241503
SN: 16641 0.125382
SN: 16644 0.297766
SN: 16692 0.032993
SN: 16737 0.200998
SN: 16748 0.230684
SN: 16758 0.324886
SN: 16774 0.213819
SN: 16776 0.265169
SN: 16779 0.399478
SN: 16781 0.330493
SN: 16789 0.324044
SN: 16793 0.202807
SN: 16836 0.331767
SN: 16847 0.275646
SN: 16872 0.119830
SN: 1688 0.357671
SN: 16894 0.295919
SN: 16899 0.287024
SN: 16938 0.380055
SN: 16953 0.337713
SN: 16956 0.107742
SN: 170078 0.320887
SN: 170428 0.300072
SN: 17048 0.219301
SN: 170532 0.107254
SN: 17081 0.274621
SN: 17106 0.211637
SN: 17117 0.139311
SN: 17168 0.183760
SN: 17171 0.158992
SN: 17174 0.049541
SN: 17176 0.092110
SN: 17186 0.078492
SN: 17208 0.140839
SN: 17215 0.180798
SN: 17218 0.176966
SN: 17220 0.177691
SN: 17223 0.241511
SN: 17240 0.071530
SN: 17253 0.156892
SN: 17258 0.088064
SN: 17263 0.058516
SN: 17274 0.194667
SN: 17280 0.130459
SN: 17332 0.182031
SN: 17340 0.256253
SN: 17366 0.138110
SN: 17389 0.169601
SN: 17391 0.183453
SN: 17435 0.216743
SN: 17460 0.248308
SN: 17464 0.253446
SN: 17497 0.143879
SN: 17500 0.042896
SN: 17528 0.370370
SN: 17552 0.251910
SN: 17568 0.143348
SN: 17605 0.145333
SN: 17629 0.136396
SN: 17745 0.062150
SN: 17784 0.036525
SN: 17790 0.179217
SN: 17791 0.284681
SN: 17801 0.205147
SN: 17809 0.287463
SN: 17811 0.211858
SN: 17825 0.162198
SN: 17875 0.231106
SN: 17880 0.071958
SN: 17884 0.237757
SN: 17886 0.040227
SN: 1794 0.140701
SN: 180166 0.147567
SN: 18030 0.155177
SN: 180313 0.510059
SN: 180561 0.228531
SN: 18091 0.369769
SN: 18241 0.096907
SN: 18298 0.118594
SN: 18323 0.152719
SN: 18325 0.257225
SN: 18375 0.109265
SN: 18415 0.129403
SN: 18456 0.218821
SN: 18463 0.266872
SN: 18466 0.219665
SN: 18485 0.281221
SN: 18486 0.239712
SN: 18602 0.136962
SN: 18604 0.174831
SN: 18612 0.113648
SN: 18617 0.325696
SN: 18650 0.112427
SN: 18697 0.106382
SN: 18721 0.401280
SN: 18740 0.153173
SN: 18749 0.189313
SN: 18751 0.069777
SN: 18768 0.198917
SN: 18782 0.366282
SN: 18787 0.189147
SN: 18804 0.197263
SN: 18807 0.187145
SN: 18809 0.131529
SN: 18835 0.122623
SN: 18839 0.552732
SN: 18855 0.127157
SN: 18890 0.065349
SN: 18927 0.212135
SN: 18940 0.210990
SN: 18945 0.261873
SN: 18965 0.204538
SN: 19002 0.270104
SN: 19003 0.058774
SN: 19008 0.230753
SN: 190209 0.366478
SN: 19023 0.244045
SN: 190230 0.138645
SN: 190237 0.229362
SN: 19025 0.406698
SN: 190260 0.143443
SN: 19027 0.291138
SN: 19029 0.318044
SN: 19033 0.403235
SN: 190340 0.138244
SN: 19051 0.276189
SN: 19070 0.468613
SN: 19101 0.200619
SN: 19128 0.287635
SN: 19149 0.210233
SN: 19155 0.076645
SN: 19174 0.163571
SN: 19207 0.257211
SN: 19211 0.418473
SN: 19230 0.220053
SN: 19282 0.172393
SN: 19341 0.235426
SN: 19353 0.153251
SN: 19381 0.212109
SN: 19543 0.123844
SN: 19596 0.290357
SN: 19604 0.296682
SN: 19616 0.164554
SN: 19626 0.112302
SN: 19632 0.313769
SN: 19658 0.198631
SN: 19702 0.261625
SN: 1972E 0.002279
SN: 19757 0.403477
SN: 19775 0.136870
SN: 19794 0.295679
SN: 1980N 0.004597
SN: 19818 0.303949
SN: 1981D 0.005515
SN: 1986G 0.002705
SN: 19899 0.090075
SN: 1989B 0.003567
SN: 1990N 0.004621
SN: 1990O 0.030930
SN: 1990T 0.040142
SN: 1990Y 0.038694
SN: 1990af 0.050177
SN: 19913 0.202372
SN: 1991M 0.007583
SN: 1991S 0.055548
SN: 1991T 0.006934
SN: 1991U 0.032749
SN: 1991ag 0.013875
SN: 1991bg 0.004639
SN: 1992A 0.004599
SN: 1992G 0.006105
SN: 1992J 0.045772
SN: 1992K 0.011209
SN: 1992P 0.026425
SN: 1992ae 0.074777
SN: 1992ag 0.025920
SN: 1992al 0.014337
SN: 1992aq 0.100029
SN: 1992au 0.060314
SN: 1992bc 0.019758
SN: 1992bg 0.035739
SN: 1992bh 0.045100
SN: 1992bk 0.057936
SN: 1992bl 0.042796
SN: 1992bo 0.018053
SN: 1992bp 0.078548
SN: 1992br 0.087555
SN: 1992bs 0.063702
SN: 1993B 0.070758
SN: 1993H 0.024500
SN: 1993L 0.005526
SN: 1993O 0.051481
SN: 1993ac 0.049317
SN: 1993ae 0.018646
SN: 1993ag 0.050187
SN: 1993ah 0.028277
SN: 19940 0.155906
SN: 1994D 0.002986
SN: 1994DRichmond 0.002986
SN: 1994M 0.024259
SN: 1994Q 0.029449
SN: 1994S 0.016189
SN: 1994T 0.035641
SN: 1994ae 0.005397
SN: 19953 0.121898
SN: 1995D 0.007801
SN: 1995E 0.011650
SN: 1995ac 0.048666
SN: 1995ak 0.021934
SN: 1995al 0.005916
SN: 1995bd 0.015223
SN: 19968 0.054901
SN: 19969 0.174285
SN: 1996C 0.028748
SN: 1996X 0.008122
SN: 1996Z 0.008674
SN: 1996ab 0.123483
